Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2022-03-21,741.0,750.4500122070312,725.4000244140625,735.1500244140625,6662688,0.0,0,ADANIPORTS.NS
2022-03-22,735.0,743.9000244140625,723.0499877929688,739.1500244140625,5010054,0.0,0,ADANIPORTS.NS
2022-03-23,747.9500122070312,751.0,731.7999877929688,733.75,4698808,0.0,0,ADANIPORTS.NS
2022-03-24,733.0,742.2999877929688,731.0,733.4500122070312,2914647,0.0,0,ADANIPORTS.NS
2022-03-25,737.0,746.9000244140625,730.0499877929688,743.25,4003497,0.0,0,ADANIPORTS.NS
2022-03-28,747.0,749.7000122070312,726.5499877929688,737.0,5691095,0.0,0,ADANIPORTS.NS
2022-03-29,741.0,766.9000244140625,738.0499877929688,761.9500122070312,11423551,0.0,0,ADANIPORTS.NS
2022-03-30,768.7999877929688,775.9500122070312,762.0999755859375,767.4000244140625,6913983,0.0,0,ADANIPORTS.NS
2022-03-31,767.4000244140625,781.0,765.5,774.2000122070312,5468951,0.0,0,ADANIPORTS.NS
2022-04-01,774.5,790.7000122070312,774.5,785.75,6816743,0.0,0,ADANIPORTS.NS
2022-04-04,791.0,822.1500244140625,783.6500244140625,818.5499877929688,13743062,0.0,0,ADANIPORTS.NS
2022-04-05,840.0,860.9000244140625,826.0,848.0499877929688,21090646,0.0,0,ADANIPORTS.NS
2022-04-06,852.9500122070312,862.6500244140625,840.0,849.8499755859375,8785541,0.0,0,ADANIPORTS.NS
2022-04-07,850.0,866.0,813.5999755859375,817.4000244140625,11662093,0.0,0,ADANIPORTS.NS
2022-04-08,823.0,844.7999877929688,817.4000244140625,839.2999877929688,5777924,0.0,0,ADANIPORTS.NS
2022-04-11,840.0,860.0,839.2999877929688,854.5499877929688,6030153,0.0,0,ADANIPORTS.NS
2022-04-12,853.9000244140625,859.0,835.0,844.9000244140625,5597246,0.0,0,ADANIPORTS.NS
2022-04-13,849.9000244140625,854.9000244140625,836.5,840.5,2955807,0.0,0,ADANIPORTS.NS
2022-04-18,831.3499755859375,846.75,821.4000244140625,842.7000122070312,3969878,0.0,0,ADANIPORTS.NS
2022-04-19,849.0,850.25,807.0,819.2999877929688,4472320,0.0,0,ADANIPORTS.NS
2022-04-20,825.5999755859375,835.9500122070312,820.0,827.6500244140625,3071216,0.0,0,ADANIPORTS.NS
2022-04-21,833.0,858.9000244140625,832.2999877929688,850.5,5539106,0.0,0,ADANIPORTS.NS
2022-04-22,847.4500122070312,886.0,840.7000122070312,874.1500244140625,17864000,0.0,0,ADANIPORTS.NS
